"Date","Version Firmware + Data + Derniere erreur"
"18-04-2025_09:50","2.4.44 -0.76 21.6 21.2 20.6 26.0 28.6 58.21 4159.8 4162.7 4157.3 4163.1 4162.8 4163.0 4159.4 4158.1 4154.9 4152.6 4155.0 4153.9 4154.8 4150.2 DECHA 0.0000 100 0 1 1 0 0 0.0 0 0 00000000000000 133 -279.83 0j/0h 0j/1h 4143 4166 19.5 21.6 0j/0h 0.0 2025/04/18 0 Battery-Full"
"18-04-2025_09:52","2.4.44 -0.59 21.6 21.2 20.6 26.1 28.7 58.21 4160.2 4162.5 4157.1 4163.2 4162.7 4162.8 4159.4 4157.9 4154.7 4152.9 4155.0 4153.7 4154.6 4148.4 DECHA 0.0000 100 0 1 1 0 0 0.0 0 0 00000000000000 246 -287.22 0j/0h 0j/1h 4143 4166 19.5 21.6 0j/0h 0.0 2025/04/18 0 Battery-Full"
"18-04-2025_09:53","2.4.44 -0.37 21.6 21.2 20.6 26.1 28.7 58.21 4160.1 4162.5 4157.1 4163.2 4162.6 4162.8 4159.1 4158.0 4154.8 4153.0 4155.1 4153.7 4154.7 4150.9 DECHA 0.0000 100 0 1 1 0 0 0.0 0 0 00000000000000 311 -291.17 0j/0h 0j/1h 4143 4166 19.5 21.6 0j/0h 0.0 2025/04/18 0 Battery-Full"
"18-04-2025_10:16","2.4.44 -1.21 21.9 21.6 21.0 26.3 28.9 58.20 4159.7 4162.0 4156.6 4162.4 4161.9 4162.2 4158.3 4157.4 4154.0 4152.2 4154.6 4153.2 4153.9 4148.8 SLEEP 0.0000 100 0 1 1 0 0 0.0 0 0 00000000000000 1646 -384.64 0j/0h 0j/1h 4143 4166 19.5 21.9 0j/0h 0.0 2025/04/18 0 Battery-Full"
"18-04-2025_10:30","2.4.44 -0.34 22.0 21.7 21.2 24.2 24.9 58.19 4159.6 4161.6 4156.3 4162.7 4161.9 4161.9 4158.6 4157.1 4154.1 4152.2 4154.4 4153.1 4154.0 4146.5 DECHA 0.0000 100 0 1 1 0 0 0.0 0 0 00000000000000 7 -2.24 0j/0h 0j/0h 10000 0 10000.0 0.0 0j/0h 0.0 2025/04/18 0 Battery-Full"
"18-04-2025_10:46","2.4.44 -0.02 22.1 21.9 21.4 26.3 28.8 58.19 4158.6 4161.0 4155.6 4161.9 4161.3 4161.3 4157.7 4156.5 4153.3 4151.5 4153.8 4152.5 4153.1 4149.9 DECHA 0.0000 100 0 1 1 0 0 0.0 0 0 00000000000000 934 -8.14 0j/0h 0j/0h 4142 4162 21.2 22.1 0j/0h 0.0 2025/04/18 0 Battery-Full"
"18-04-2025_11:28","2.4.44 -0.52 22.7 22.3 21.8 26.8 29.4 58.17 4156.9 4159.7 4154.5 4160.2 4159.8 4160.0 4156.4 4155.4 4152.0 4150.3 4152.5 4151.3 4151.8 4146.3 DECHA 0.0000 100 0 1 1 0 0 0.0 0 0 00000000000000 3449 -31.48 0j/0h 0j/0h 4140 4162 21.2 22.7 0j/0h 0.0 2025/04/18 0 Battery-Full"
